"UID","Study","Location","Sex","Age","Trial","Odor","Forced"
"F_24","Field","Tate","Female","Under_50",1,"rose","wood"
"F_24","Field","Tate","Female","Under_50",2,"orange","chewing gum"
"F_24","Field","Tate","Female","Under_50",3,"fish","fish"
"F_24","Field","Tate","Female","Under_50",4,"garlic","onion"
"F_24","Field","Tate","Female","Under_50",5,"peppermint","peppermint"
"F_24","Field","Southwark","Female","Under_50",1,"fish","fish"
"F_24","Field","Southwark","Female","Under_50",2,"rose","rose"
"F_24","Field","Southwark","Female","Under_50",3,"orange","chewing gum"
"F_24","Field","Southwark","Female","Under_50",4,"peppermint","peppermint"
"F_24","Field","Southwark","Female","Under_50",5,"garlic","onion"
"F_24","Field","Borough","Female","Under_50",1,"orange","vanilla"
"F_24","Field","Borough","Female","Under_50",2,"garlic","onion"
"F_24","Field","Borough","Female","Under_50",3,"peppermint","peppermint"
"F_24","Field","Borough","Female","Under_50",4,"fish","fish"
"F_24","Field","Borough","Female","Under_50",5,"rose","rose"
"F_40","Field","Tate","Male","50+",1,"peppermint","peppermint"
"F_40","Field","Tate","Male","50+",2,"garlic","garlic"
"F_40","Field","Tate","Male","50+",3,"orange","orange"
"F_40","Field","Tate","Male","50+",4,"fish","fish"
"F_40","Field","Tate","Male","50+",5,"rose","rose"
"F_40","Field","Southwark","Male","50+",1,"rose","rose"
"F_40","Field","Southwark","Male","50+",2,"garlic","garlic"
"F_40","Field","Southwark","Male","50+",3,"fish","fish"
"F_40","Field","Southwark","Male","50+",4,"orange","pear"
"F_40","Field","Southwark","Male","50+",5,"peppermint","chewing gum"
"F_40","Field","Borough","Male","50+",1,"fish","fish"
"F_40","Field","Borough","Male","50+",2,"peppermint","chewing gum"
"F_40","Field","Borough","Male","50+",3,"orange","pear"
"F_40","Field","Borough","Male","50+",4,"garlic","garlic"
"F_40","Field","Borough","Male","50+",5,"rose","no smell"
"F_41","Field","Tate","Female","50+",1,"fish","fish"
"F_41","Field","Tate","Female","50+",2,"rose","rose"
"F_41","Field","Tate","Female","50+",3,"garlic","garlic"
"F_41","Field","Tate","Female","50+",4,"peppermint","no smell"
"F_41","Field","Tate","Female","50+",5,"orange","no smell"
"F_41","Field","Southwark","Female","50+",1,"fish","fish"
"F_41","Field","Southwark","Female","50+",2,"rose","rose"
"F_41","Field","Southwark","Female","50+",3,"peppermint","peppermint"
"F_41","Field","Southwark","Female","50+",4,"garlic","garlic"
"F_41","Field","Southwark","Female","50+",5,"orange","orange"
"F_41","Field","Borough","Female","50+",1,"garlic","garlic"
"F_41","Field","Borough","Female","50+",2,"fish","fish"
"F_41","Field","Borough","Female","50+",3,"orange","peppermint"
"F_41","Field","Borough","Female","50+",4,"rose","rose"
"F_41","Field","Borough","Female","50+",5,"peppermint","peppermint"
"F_43","Field","Tate","Female","Under_50",1,"peppermint","peppermint"
"F_43","Field","Tate","Female","Under_50",2,"garlic","garlic"
"F_43","Field","Tate","Female","Under_50",3,"orange","orange"
"F_43","Field","Tate","Female","Under_50",4,"rose","chewing gum"
