"Study","UID","Location","Age","Sex","Trial","Odor","Free"
"Field","F_24","Borough","Under_50","Female",3,"peppermint","peppermint"
"Field","F_24","Borough","Under_50","Female",4,"fish","fish"
"Field","F_24","Borough","Under_50","Female",5,"rose","rose"
"Field","F_40","Tate","50+","Male",1,"peppermint","mint"
"Field","F_40","Tate","50+","Male",2,"garlic","garlic"
"Field","F_40","Tate","50+","Male",3,"orange","orange"
"Field","F_40","Tate","50+","Male",4,"fish","fish"
"Field","F_40","Tate","50+","Male",5,"rose","rose"
"Field","F_40","Southwark","50+","Male",1,"rose","rose"
"Field","F_40","Southwark","50+","Male",2,"garlic","garlic"
"Field","F_40","Southwark","50+","Male",3,"fish","fish"
"Field","F_40","Southwark","50+","Male",4,"orange","none"
"Field","F_40","Southwark","50+","Male",5,"peppermint","chewing gum"
"Field","F_40","Borough","50+","Male",1,"fish","bad smell"
"Field","F_40","Borough","50+","Male",2,"peppermint","menthol, chewing gum"
"Field","F_40","Borough","50+","Male",3,"orange","pear"
"Field","F_40","Borough","50+","Male",4,"garlic","garlic"
"Field","F_40","Borough","50+","Male",5,"rose","no smell"
"Field","F_41","Tate","50+","Female",1,"fish","fish"
"Field","F_41","Tate","50+","Female",2,"rose","rose"
"Field","F_41","Tate","50+","Female",3,"garlic","garlic"
"Field","F_41","Tate","50+","Female",4,"peppermint","no smell"
"Field","F_41","Tate","50+","Female",5,"orange","no smell"
"Field","F_41","Southwark","50+","Female",1,"fish","fish"
"Field","F_41","Southwark","50+","Female",2,"rose","rose"
"Field","F_41","Southwark","50+","Female",3,"peppermint","peppermint"
"Field","F_41","Southwark","50+","Female",4,"garlic","garlic"
"Field","F_41","Southwark","50+","Female",5,"orange","orange"
"Field","F_41","Borough","50+","Female",1,"garlic","garlic"
"Field","F_41","Borough","50+","Female",2,"fish","fish"
"Field","F_41","Borough","50+","Female",3,"orange","mint (not sure--don't think that's right!)"
"Field","F_41","Borough","50+","Female",4,"rose","rose"
"Field","F_41","Borough","50+","Female",5,"peppermint","peppermint"
"Field","F_43","Tate","Under_50","Female",1,"peppermint","mint"
"Field","F_43","Tate","Under_50","Female",2,"garlic","garlic"
"Field","F_43","Tate","Under_50","Female",3,"orange","orange"
"Field","F_43","Tate","Under_50","Female",4,"rose","none"
"Field","F_43","Tate","Under_50","Female",5,"fish","fish"
"Field","F_43","Southwark","Under_50","Female",1,"garlic","garlic"
"Field","F_43","Southwark","Under_50","Female",2,"peppermint","peppermint"
"Field","F_43","Southwark","Under_50","Female",3,"rose","flowery perfume"
"Field","F_43","Southwark","Under_50","Female",4,"orange","orange"
"Field","F_43","Southwark","Under_50","Female",5,"fish","fish"
"Field","F_43","Borough","Under_50","Female",1,"peppermint","peppermint"
"Field","F_43","Borough","Under_50","Female",2,"orange","no smell"
"Field","F_43","Borough","Under_50","Female",3,"garlic","garlic"
"Field","F_43","Borough","Under_50","Female",4,"fish","fish"
"Field","F_43","Borough","Under_50","Female",5,"rose","rose"
"Field","F_44","Tate","Under_50","Female",1,"peppermint","mint"
"Field","F_44","Tate","Under_50","Female",2,"garlic","wood"
"Field","F_44","Tate","Under_50","Female",3,"orange","orange"
"Field","F_44","Tate","Under_50","Female",4,"rose","rose"
"Field","F_44","Tate","Under_50","Female",5,"fish","smoked bacon"
"Field","F_44","Southwark","Under_50","Female",1,"peppermint","peppermint"
"Field","F_44","Southwark","Under_50","Female",2,"orange","orange"
"Field","F_44","Southwark","Under_50","Female",3,"garlic","ham"
"Field","F_44","Southwark","Under_50","Female",4,"rose","wood"
"Field","F_44","Southwark","Under_50","Female",5,"fish","ham"
"Field","F_44","Borough","Under_50","Female",1,"peppermint","peppermint"
"Field","F_44","Borough","Under_50","Female",2,"rose","orange"
"Field","F_44","Borough","Under_50","Female",3,"garlic","ham"
"Field","F_44","Borough","Under_50","Female",4,"orange","orange"
"Field","F_44","Borough","Under_50","Female",5,"fish","ham"
"Field","F_45","Tate","Under_50","Female",1,"garlic","maybe meat & tomatoes"
"Field","F_45","Tate","Under_50","Female",2,"peppermint","mint"
"Field","F_45","Tate","Under_50","Female",3,"orange","none"
"Field","F_45","Tate","Under_50","Female",4,"rose","none"
"Field","F_45","Tate","Under_50","Female",5,"fish","fish"
"Field","F_45","Southwark","Under_50","Female",1,"rose","soap"
"Field","F_45","Southwark","Under_50","Female",2,"orange","orange"
"Field","F_45","Southwark","Under_50","Female",3,"fish","fish"
"Field","F_45","Southwark","Under_50","Female",4,"peppermint","peppermint"
"Field","F_45","Southwark","Under_50","Female",5,"garlic","garlic"
"Field","F_45","Borough","Under_50","Female",1,"rose","rose"
"Field","F_45","Borough","Under_50","Female",2,"fish","fish"
"Field","F_45","Borough","Under_50","Female",3,"garlic","garlic"
"Field","F_45","Borough","Under_50","Female",4,"peppermint","peppermint"
"Field","F_45","Borough","Under_50","Female",5,"orange","orange"
"Field","F_46","Tate","Under_50","Female",1,"garlic","garlic"
"Field","F_46","Tate","Under_50","Female",2,"peppermint","mint"
"Field","F_46","Tate","Under_50","Female",3,"orange","fruity"
"Field","F_46","Tate","Under_50","Female",4,"fish","meat"
"Field","F_46","Tate","Under_50","Female",5,"rose","rose"
"Field","F_46","Southwark","Under_50","Female",1,"peppermint","menthol"
"Field","F_46","Southwark","Under_50","Female",2,"fish","fish"
"Field","F_46","Southwark","Under_50","Female",3,"rose","rose"
"Field","F_46","Southwark","Under_50","Female",4,"garlic","garlic"
"Field","F_46","Southwark","Under_50","Female",5,"orange","orange"
"Field","F_46","Borough","Under_50","Female",1,"orange","rose"
"Field","F_46","Borough","Under_50","Female",2,"peppermint","menthol"
"Field","F_46","Borough","Under_50","Female",3,"garlic","garlic"
"Field","F_46","Borough","Under_50","Female",4,"fish","fish"
"Field","F_46","Borough","Under_50","Female",5,"rose","rose"
